what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1260307532231
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1260307532232
stopped,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1260307532232
stopped,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1260307532232
stopped,bundle,org.eclipse.hyades.probekit,4.2.501.v200909111644,"org.eclipse.hyades.probekit",1260307532233
stopped,bundle,org.eclipse.tptp.platform.report.ui,4.1.400.v200905160100,"org.eclipse.tptp.platform.report.ui",1260307532233
stopped,bundle,org.eclipse.mylyn.commons.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.commons.ui",1260307532233
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.2.0.v20091015-0500-e3x,"org.eclipse.mylyn.wikitext.ui",1260307532235
stopped,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1260307532235
stopped,bundle,org.eclipse.wst.common.snippets,1.1.300.v200903120643,"org.eclipse.wst.common.snippets",1260307532236
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1260307532236
stopped,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1260307532237
stopped,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1260307532245
stopped,bundle,org.eclipse.jdt.launching.macosx,3.2.0.v20090527,"org.eclipse.jdt.launching.macosx",1260307532245
stopped,bundle,org.eclipse.jdt.launching.ui.macosx,1.0.0.v20090527,"org.eclipse.jdt.launching.ui.macosx",1260307532246
stopped,bundle,org.eclipse.hyades.test.tools.core,4.5.1.v200908220100,"org.eclipse.hyades.test.tools.core",1260307532247
stopped,bundle,org.eclipse.hyades.test.core,4.5.1.v200908220100,"org.eclipse.hyades.test.core",1260307532247
stopped,bundle,org.eclipse.hyades.logging.core,4.3.300.v200901090100,"org.eclipse.hyades.logging.core",1260307532247
stopped,bundle,org.eclipse.tptp.platform.common.ui.trace,4.3.301.v200909111644,"org.eclipse.tptp.platform.common.ui.trace",1260307532248
stopped,bundle,org.eclipse.tptp.platform.common.ui,4.4.201.v200908250100,"org.eclipse.tptp.platform.common.ui",1260307532248
stopped,bundle,org.eclipse.tptp.platform.report.birt,4.4.300.v200905180100,"org.eclipse.tptp.platform.report.birt",1260307532249
stopped,bundle,org.eclipse.tptp.platform.common,4.3.301.v200908220100,"org.eclipse.tptp.platform.common",1260307532249
stopped,bundle,org.eclipse.hyades.execution,4.4.301.v200908220100,"org.eclipse.hyades.execution",1260307532249
stopped,bundle,org.eclipse.tptp.platform.iac.administrator,4.4.301.v200908220100,"org.eclipse.tptp.platform.iac.administrator",1260307532249
stopped,bundle,org.eclipse.jst.server.core,1.2.0.v20090421,"org.eclipse.jst.server.core",1260307532250
